epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.963,1.9507,4.00778,0.00797,0.95911,0.06544,0.10953,0.05153,1.78579,3.31787,0.00979,0.000252773,0.000252773,0.000252773
2,265.246,1.68475,2.63814,0.00663,0.385,0.25148,0.25155,0.14153,1.48414,2.34731,0.00762,0.000499026,0.000499026,0.000499026
3,402.202,1.61811,2.17594,0.00625,0.39585,0.47009,0.40855,0.24035,1.4321,1.92712,0.0073,0.000735128,0.000735128,0.000735128
4,554.911,1.562,1.87594,0.00585,0.44306,0.52732,0.53899,0.30944,1.54505,1.69091,0.00774,0.000723321,0.000723321,0.000723321
5,702.101,1.53003,1.6975,0.00575,0.73242,0.54046,0.62012,0.37437,1.45843,1.46442,0.00733,0.000708095,0.000708095,0.000708095
